game_pk,game_date,season,home_team,away_team,game_start,start_hour,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,temp_f,temp_c,rhum,pres,prcp,wspd,wspd_mph,wdir,wind_dir_bucket,wind_cf,wind_lcf,wind_rcf
745073,2024-06-26,2024,TB,SEA,2024-06-26 12:10:00,12.0,2,5,7,1,21,6,10,318,78.2,3,41,0.0732,0.1,88.2,31.2,61.3,1012.4,0.0,13.3,8.3,254.3,W,11.59,8.67,13.12
747185,2024-06-27,2024,AZ,MIN,2024-06-27 12:40:00,12.0,6,13,19,2,11,6,23,314,83.5,6,65,0.0923,0.087,107.5,41.9,19.3,967.4,0.0,17.0,10.5,249.0,W,6.08,0.29,11.13
747020,2024-06-27,2024,BAL,TEX,2024-06-27 18:35:00,18.0,11,2,13,5,12,2,26,256,85.6,7,63,0.1111,0.1923,82.0,27.8,50.0,1008.1,0.0,8.1,5.1,278.9,W,1.92,-0.9,4.51
746816,2024-06-27,2024,CWS,ATL,2024-04-03 13:10:00,13.0,1,0,1,1,19,6,7,256,81.3,4,36,0.1111,0.1429,35.9,2.2,91.3,967.6,2.7,30.2,18.7,278.0,W,29.21,30.03,24.86
746288,2024-06-27,2024,KC,CLE,2024-06-27 19:10:00,19.0,2,1,3,0,19,4,13,244,82.9,3,42,0.0714,0.0,79.7,26.5,54.7,978.3,0.0,15.0,9.3,139.7,SE,1.22,6.26,-3.97
746210,2024-06-27,2024,LAA,DET,2024-06-27 18:38:00,18.0,5,0,5,3,19,1,12,245,81.6,5,42,0.119,0.25,70.6,21.4,69.3,1002.7,0.0,9.9,6.2,210.0,SW,9.56,9.86,8.11
745565,2024-06-27,2024,PHI,MIA,2024-06-27 18:20:00,18.0,4,7,11,2,15,6,21,305,84.2,3,58,0.0517,0.0952,83.1,28.4,38.3,1009.3,0.0,13.3,8.2,335.0,NW,-8.96,-11.77,-5.08
745324,2024-06-27,2024,SF,CHC,2024-06-27 12:45:00,12.0,3,5,8,2,24,6,16,330,82.7,2,51,0.0392,0.125,70.6,21.4,48.0,1011.0,0.0,23.0,14.3,254.7,W,22.21,22.96,18.79
745162,2024-06-27,2024,STL,CIN,2024-06-27 18:45:00,18.0,4,11,15,2,10,7,23,316,83.2,5,65,0.0769,0.087,80.8,27.1,57.3,994.3,0.0,6.0,3.7,27.3,NE,-5.72,-6.0,-4.75
744919,2024-06-27,2024,TOR,NYY,2024-06-27 19:07:00,19.0,9,2,11,4,23,5,14,295,81.1,2,41,0.0488,0.2857,62.5,17.0,42.3,1005.3,0.0,13.2,8.2,346.3,N,-12.79,-13.09,-10.96
747105,2024-06-28,2024,ATL,PIT,2024-06-28 19:20:00,19.0,6,1,7,1,21,5,16,310,81.6,2,45,0.0444,0.0625,78.1,25.6,84.3,978.7,8.0,11.5,7.2,134.0,SE,-10.58,-11.51,-8.37
747183,2024-06-28,2024,AZ,ATH,2024-06-28 18:40:00,18.0,4,9,13,5,24,5,21,327,83.0,7,51,0.1373,0.2381,104.8,40.4,19.3,965.3,0.0,16.6,10.3,266.0,W,1.16,-4.58,6.77
747017,2024-06-28,2024,BAL,TEX,2024-06-28 19:05:00,19.0,2,1,3,1,14,8,9,275,82.6,1,46,0.0217,0.1111,75.3,24.1,62.7,1018.4,0.0,18.3,11.4,134.0,SE,6.69,12.1,0.48
746939,2024-06-28,2024,BOS,SD,2024-06-28 19:10:00,19.0,2,9,11,3,13,6,20,291,83.1,4,60,0.0667,0.15,65.2,18.5,62.0,1020.8,0.0,16.0,9.9,175.4,S,10.35,13.88,5.56
746776,2024-06-28,2024,CWS,COL,2024-06-28 18:10:00,18.0,5,3,8,2,16,9,11,257,82.9,2,41,0.0488,0.1818,72.3,22.4,85.7,987.1,2.6,12.4,7.7,168.5,S,-6.91,-2.99,-10.0
